,year,population,zipcode
0,2005,16393,10001
1,2006,16499,10001
2,2007,18329,10001
3,2008,17262,10001
4,2009,17308,10001
5,2010,18158,10001
6,2011,18684,10001
7,2012,18280,10001
8,2013,18840,10001
9,2014,19370,10001
10,2015,19710,10001
11,2005,74926,10002
12,2006,76025,10002
13,2007,84180,10002
14,2008,77569,10002
15,2009,77513,10002
16,2010,77944,10002
17,2011,76623,10002
18,2012,73960,10002
19,2013,73120,10002
20,2014,72430,10002
21,2015,71450,10002
22,2005,37236,10003
23,2006,36432,10003
24,2007,38111,10003
25,2008,37170,10003
26,2009,37547,10003
27,2010,38572,10003
28,2011,39030,10003
29,2012,38540,10003
30,2013,38560,10003
31,2014,39170,10003
32,2015,39470,10003
33,2005,2459,10004
34,2006,2458,10004
35,2007,2651,10004
36,2008,3115,10004
37,2009,3204,10004
38,2010,3452,10004
39,2011,3877,10004
40,2012,4160,10004
41,2013,4370,10004
42,2014,4450,10004
43,2015,4380,10004
44,2005,4424,10005
45,2006,4920,10005
46,2007,5715,10005
47,2008,6451,10005
48,2009,7145,10005
49,2010,7400,10005
50,2011,7800,10005
51,2012,7850,10005
52,2013,7940,10005
53,2014,8280,10005
54,2015,8600,10005
55,2005,2916,10006
56,2006,2547,10006
57,2007,2663,10006
58,2008,2966,10006
59,2009,3143,10006
60,2010,3021,10006
61,2011,3339,10006
62,2012,3280,10006
63,2013,3180,10006
64,2014,3420,10006
65,2015,3390,10006
66,2005,3884,10007
67,2006,4318,10007
68,2007,5523,10007
69,2008,5765,10007
70,2009,6045,10007
71,2010,6059,10007
72,2011,5966,10007
73,2012,5910,10007
74,2013,6000,10007
75,2014,5930,10007
76,2015,5910,10007
77,2005,44882,10009
78,2006,44716,10009
79,2007,48588,10009
80,2008,45395,10009
81,2009,45473,10009
82,2010,45895,10009
83,2011,45948,10009
84,2012,45800,10009
85,2013,45810,10009
86,2014,46810,10009
87,2015,46940,10009
88,2005,22368,10010
89,2006,21949,10010
90,2007,23110,10010
91,2008,23275,10010
92,2009,23066,10010
93,2010,23160,10010
94,2011,23661,10010
95,2012,23480,10010
96,2013,23610,10010
97,2014,24010,10010
98,2015,24020,10010
99,2005,37675,10011
100,2006,37590,10011
101,2007,39608,10011
102,2008,39828,10011
103,2009,39872,10011
104,2010,40545,10011
105,2011,40438,10011
106,2012,40480,10011
107,2013,40640,10011
108,2014,40780,10011
109,2015,40950,10011
110,2005,18276,10012
111,2006,18039,10012
112,2007,18906,10012
113,2008,18182,10012
114,2009,17694,10012
115,2010,17792,10012
116,2011,17860,10012
117,2012,17380,10012
118,2013,17360,10012
119,2014,17280,10012
120,2015,17250,10012
121,2005,24182,10013
122,2006,24020,10013
123,2007,25864,10013
124,2008,25498,10013
125,2009,25747,10013
126,2010,26417,10013
127,2011,26159,10013
128,2012,25080,10013
129,2013,24700,10013
130,2014,24600,10013
131,2015,24680,10013
132,2005,25383,10014
133,2006,24961,10014
134,2007,25351,10014
135,2008,24734,10014
136,2009,24652,10014
137,2010,24963,10014
138,2011,24955,10014
139,2012,24820,10014
140,2013,24690,10014
141,2014,24980,10014
142,2015,25220,10014
143,2005,40482,10016
144,2006,40233,10016
145,2007,44137,10016
146,2008,41669,10016
147,2009,40679,10016
148,2010,41142,10016
149,2011,41461,10016
150,2012,41130,10016
151,2013,41130,10016
152,2014,42260,10016
153,2015,42940,10016
154,2005,21003,10017
155,2006,20077,10017
156,2007,20126,10017
157,2008,20578,10017
158,2009,19363,10017
159,2010,19950,10017
160,2011,20158,10017
161,2012,16540,10017
162,2013,17090,10017
163,2014,17650,10017
164,2015,17990,10017
165,2005,6210,10018
166,2006,6023,10018
167,2007,6144,10018
168,2008,6179,10018
169,2009,7317,10018
170,2010,8198,10018
171,2011,8312,10018
172,2012,8360,10018
173,2013,8560,10018
174,2014,8640,10018
175,2015,8840,10018
176,2005,32049,10019
177,2006,32122,10019
178,2007,34337,10019
179,2008,33016,10019
180,2009,33022,10019
181,2010,33057,10019
182,2011,33623,10019
183,2012,33620,10019
184,2013,33320,10019
185,2014,33880,10019
186,2015,34280,10019
187,2005,2326,10020
188,2006,2047,10020
189,2007,2093,10020
190,2008,2112,10020
191,2005,83520,10021
192,2006,75156,10021
193,2007,49174,10021
194,2008,43973,10021
195,2009,39545,10021
196,2010,37294,10021
197,2011,36244,10021
198,2012,36020,10021
199,2013,35840,10021
200,2014,36250,10021
201,2015,36490,10021
202,2005,30425,10022
203,2006,30033,10022
204,2007,30715,10022
205,2008,29995,10022
206,2009,28952,10022
207,2010,29287,10022
208,2011,29591,10022
209,2012,29000,10022
210,2013,29210,10022
211,2014,29600,10022
212,2015,29800,10022
213,2005,49522,10023
214,2006,48526,10023
215,2007,50191,10023
216,2008,49798,10023
217,2009,50407,10023
218,2010,51221,10023
219,2011,51623,10023
220,2012,51310,10023
221,2013,51300,10023
222,2014,51490,10023
223,2015,52150,10023
224,2005,50866,10024
225,2006,49020,10024
226,2007,50332,10024
227,2008,49404,10024
228,2009,49457,10024
229,2010,50163,10024
230,2011,49845,10024
231,2012,49570,10024
232,2013,49780,10024
233,2014,49930,10024
234,2015,50420,10024
235,2005,74052,10025
236,2006,72827,10025
237,2007,77935,10025
238,2008,74605,10025
239,2009,74532,10025
240,2010,75750,10025
241,2011,75538,10025
242,2012,74270,10025
243,2013,73690,10025
244,2014,74100,10025
245,2015,73730,10025
246,2005,25288,10026
247,2006,26368,10026
248,2007,28614,10026
249,2008,27771,10026
250,2009,28837,10026
251,2010,30321,10026
252,2011,30063,10026
253,2012,29850,10026
254,2013,29750,10026
255,2014,30520,10026
256,2015,30440,10026
257,2005,40277,10027
258,2006,41147,10027
259,2007,44951,10027
260,2008,42743,10027
261,2009,43039,10027
262,2010,44496,10027
263,2011,45235,10027
264,2012,44390,10027
265,2013,44660,10027
266,2014,45260,10027
267,2015,45080,10027
268,2005,39168,10028
269,2006,37611,10028
270,2007,38272,10028
271,2008,37609,10028
272,2009,38290,10028
273,2010,38667,10028
274,2011,38881,10028
275,2012,38530,10028
276,2013,38640,10028
277,2014,39120,10028
278,2015,39430,10028
279,2005,51831,10029
280,2006,53142,10029
281,2007,59877,10029
282,2008,55981,10029
283,2009,56770,10029
284,2010,58654,10029
285,2011,60022,10029
286,2012,60290,10029
287,2013,60500,10029
288,2014,60430,10029
289,2015,60970,10029
290,2005,19337,10030
291,2006,19968,10030
292,2007,22305,10030
293,2008,20709,10030
294,2009,21660,10030
295,2010,22372,10030
296,2011,22552,10030
297,2012,22560,10030
298,2013,22540,10030
299,2014,23040,10030
300,2015,23010,10030
301,2005,45678,10031
302,2006,45688,10031
303,2007,51098,10031
304,2008,46288,10031
305,2009,47020,10031
306,2010,49373,10031
307,2011,48348,10031
308,2012,47100,10031
309,2013,47380,10031
310,2014,47960,10031
311,2015,47370,10031
312,2005,48871,10032
313,2006,49615,10032
314,2007,56065,10032
315,2008,51804,10032
316,2009,53222,10032
317,2010,52813,10032
318,2011,50710,10032
319,2012,50560,10032
320,2013,53800,10032
321,2014,49740,10032
322,2015,48530,10032
323,2005,47110,10033
324,2006,51204,10033
325,2007,61411,10033
326,2008,50874,10033
327,2009,48063,10033
328,2010,49487,10033
329,2011,47965,10033
330,2012,45780,10033
331,2013,46280,10033
332,2014,45950,10033
333,2015,45600,10033
334,2005,34211,10034
335,2006,34715,10034
336,2007,39046,10034
337,2008,36649,10034
338,2009,36934,10034
339,2010,36496,10034
340,2011,35324,10034
341,2012,34370,10034
342,2013,34990,10034
343,2014,34710,10034
344,2015,34740,10034
345,2005,21871,10035
346,2006,22740,10035
347,2007,26335,10035
348,2008,24078,10035
349,2009,24586,10035
350,2010,25315,10035
351,2011,25935,10035
352,2012,26650,10035
353,2013,27450,10035
354,2014,26800,10035
355,2015,26650,10035
356,2005,23170,10036
357,2006,23080,10036
358,2007,23813,10036
359,2008,22809,10036
360,2009,23441,10036
361,2010,25124,10036
362,2011,24524,10036
363,2012,23990,10036
364,2013,24530,10036
365,2014,24720,10036
366,2015,25310,10036
367,2005,14140,10037
368,2006,14271,10037
369,2007,15881,10037
370,2008,14816,10037
371,2009,15310,10037
372,2010,15734,10037
373,2011,16128,10037
374,2012,16010,10037
375,2013,16190,10037
376,2014,17610,10037
377,2015,16880,10037
378,2005,14201,10038
379,2006,14530,10038
380,2007,16784,10038
381,2008,15929,10038
382,2009,16140,10038
383,2010,16772,10038
384,2011,17257,10038
385,2012,17610,10038
386,2013,18470,10038
387,2014,18580,10038
388,2015,18310,10038
389,2005,19005,10039
390,2006,20058,10039
391,2007,22264,10039
392,2008,20719,10039
393,2009,21546,10039
394,2010,22565,10039
395,2011,22769,10039
396,2012,23370,10039
397,2013,23630,10039
398,2014,24110,10039
399,2015,23320,10039
400,2005,36988,10040
401,2006,38926,10040
402,2007,42448,10040
403,2008,37180,10040
404,2009,37393,10040
405,2010,38343,10040
406,2011,37108,10040
407,2012,36490,10040
408,2013,37010,10040
409,2014,36240,10040
410,2015,36340,10040
411,2005,6132,10044
412,2006,6532,10044
413,2007,7079,10044
414,2008,6718,10044
415,2009,7010,10044
416,2010,7236,10044
417,2011,7265,10044
418,2012,6970,10044
419,2013,6860,10044
420,2014,7050,10044
421,2015,7080,10044
422,2006,2714,10065
423,2007,16979,10065
424,2008,19200,10065
425,2009,21005,10065
426,2010,22929,10065
427,2011,23625,10065
428,2012,23540,10065
429,2013,23700,10065
430,2014,24130,10065
431,2015,24130,10065
432,2005,3096,10069
433,2006,3210,10069
434,2007,3442,10069
435,2008,3711,10069
436,2009,3831,10069
437,2010,4389,10069
438,2011,4652,10069
439,2012,4840,10069
440,2013,4890,10069
441,2014,4910,10069
442,2015,5260,10069
443,2006,2258,10075
444,2007,15519,10075
445,2008,17370,10075
446,2009,18868,10075
447,2010,20675,10075
448,2011,21418,10075
449,2012,21480,10075
450,2013,21680,10075
451,2014,21770,10075
452,2015,22000,10075
453,2005,199,10103
454,2006,101,10103
455,2007,18,10103
456,2005,478,10110
457,2006,434,10110
458,2007,378,10110
459,2005,1191,10111
460,2006,1135,10111
461,2007,858,10111
462,2008,1437,10111
463,2005,563,10112
464,2006,507,10112
465,2007,496,10112
466,2008,423,10112
467,2006,22,10115
468,2005,392,10119
469,2006,391,10119
470,2007,387,10119
471,2005,50967,10128
472,2006,49450,10128
473,2007,51529,10128
474,2008,49465,10128
475,2009,49564,10128
476,2010,50410,10128
477,2011,50668,10128
478,2012,50490,10128
479,2013,50370,10128
480,2014,51290,10128
481,2015,51720,10128
482,2005,107,10152
483,2006,63,10152
484,2007,48,10152
485,2005,46,10153
486,2006,49,10153
487,2007,41,10153
488,2005,433,10154
489,2006,391,10154
490,2007,382,10154
491,2005,1243,10162
492,2006,1201,10162
493,2007,1274,10162
494,2008,1349,10162
495,2009,1354,10162
496,2010,1357,10162
497,2011,1363,10162
498,2012,1440,10162
499,2013,1400,10162
500,2014,1480,10162
501,2015,1450,10162
502,2005,597,10165
503,2006,524,10165
504,2007,471,10165
505,2008,476,10165
506,2005,187,10167
507,2006,212,10167
508,2007,190,10167
509,2005,253,10168
510,2006,390,10168
511,2007,406,10168
512,2008,450,10168
513,2005,254,10169
514,2006,240,10169
515,2007,228,10169
516,2005,334,10170
517,2006,322,10170
518,2007,421,10170
519,2008,519,10170
520,2005,40,10171
521,2006,30,10171
522,2007,50,10171
523,2005,388,10172
524,2006,390,10172
525,2007,555,10172
526,2008,677,10172
527,2005,52,10174
528,2006,43,10174
529,2007,48,10174
530,2005,22,10177
531,2005,55,10271
532,2006,50,10271
533,2007,46,10271
534,2005,6427,10280
535,2006,6100,10280
536,2007,5885,10280
537,2008,6053,10280
538,2009,6238,10280
539,2010,6165,10280
540,2011,6548,10280
541,2012,6830,10280
542,2013,6990,10280
543,2014,7130,10280
544,2015,7410,10280
545,2005,2885,10282
546,2006,3009,10282
547,2007,3280,10282
548,2008,3788,10282
549,2009,4044,10282
550,2010,4318,10282
551,2011,4703,10282
552,2012,4900,10282
553,2013,4720,10282
554,2014,4670,10282
555,2015,4910,10282
556,2005,29850,10301
557,2006,29793,10301
558,2007,31867,10301
559,2008,30147,10301
560,2009,30729,10301
561,2010,31505,10301
562,2011,32040,10301
563,2012,32160,10301
564,2013,32260,10301
565,2014,32950,10301
566,2015,33260,10301
567,2005,13534,10302
568,2006,13617,10302
569,2007,14756,10302
570,2008,14431,10302
571,2009,14885,10302
572,2010,15022,10302
573,2011,15311,10302
574,2012,15350,10302
575,2013,15550,10302
576,2014,16000,10302
577,2015,16100,10302
578,2005,20836,10303
579,2006,21176,10303
580,2007,22754,10303
581,2008,22211,10303
582,2009,22943,10303
583,2010,23226,10303
584,2011,23306,10303
585,2012,23300,10303
586,2013,23510,10303
587,2014,23660,10303
588,2015,24020,10303
589,2005,34908,10304
590,2006,34689,10304
591,2007,36986,10304
592,2008,36046,10304
593,2009,36365,10304
594,2010,36606,10304
595,2011,37261,10304
596,2012,37330,10304
597,2013,37490,10304
598,2014,37790,10304
599,2015,38250,10304
600,2005,34230,10305
601,2006,34192,10305
602,2007,36918,10305
603,2008,35727,10305
604,2009,36243,10305
605,2010,36226,10305
606,2011,36431,10305
607,2012,36640,10305
608,2013,36460,10305
609,2014,36720,10305
610,2015,36980,10305
611,2005,50185,10306
612,2006,49369,10306
613,2007,52089,10306
614,2008,50677,10306
615,2009,50886,10306
616,2010,51252,10306
617,2011,50992,10306
618,2012,50130,10306
619,2013,49990,10306
620,2014,50120,10306
621,2015,50460,10306
622,2005,12126,10307
623,2006,12085,10307
624,2007,12657,10307
625,2008,12388,10307
626,2009,12667,10307
627,2010,12645,10307
628,2011,12706,10307
629,2012,12800,10307
630,2013,12820,10307
631,2014,12710,10307
632,2015,12940,10307
633,2005,25945,10308
634,2006,25069,10308
635,2007,26223,10308
636,2008,25439,10308
637,2009,25538,10308
638,2010,25482,10308
639,2011,25636,10308
640,2012,25370,10308
641,2013,25680,10308
642,2014,25720,10308
643,2015,25790,10308
644,2005,28147,10309
645,2006,27596,10309
646,2007,28848,10309
647,2008,28317,10309
648,2009,28539,10309
649,2010,28842,10309
650,2011,29080,10309
651,2012,29290,10309
652,2013,29710,10309
653,2014,29600,10309
654,2015,29770,10309
655,2005,19360,10310
656,2006,19120,10310
657,2007,20513,10310
658,2008,20400,10310
659,2009,20993,10310
660,2010,21477,10310
661,2011,21978,10310
662,2012,22450,10310
663,2013,22230,10310
664,2014,22600,10310
665,2015,22810,10310
666,2005,57108,10312
667,2006,55316,10312
668,2007,57551,10312
669,2008,56155,10312
670,2009,56075,10312
671,2010,55749,10312
672,2011,56115,10312
673,2012,55770,10312
674,2013,56020,10312
675,2014,56140,10312
676,2015,56670,10312
677,2005,76449,10314
678,2006,74444,10314
679,2007,78346,10314
680,2008,76819,10314
681,2009,77402,10314
682,2010,77464,10314
683,2011,77791,10314
684,2012,78100,10314
685,2013,78240,10314
686,2014,78580,10314
687,2015,79230,10314
688,2005,33698,10451
689,2006,35073,10451
690,2007,39464,10451
691,2008,37306,10451
692,2009,39064,10451
693,2010,40460,10451
694,2011,41723,10451
695,2012,41440,10451
696,2013,42070,10451
697,2014,42890,10451
698,2015,43240,10451
699,2005,61004,10452
700,2006,64015,10452
701,2007,72095,10452
702,2008,67225,10452
703,2009,69064,10452
704,2010,70891,10452
705,2011,69384,10452
706,2012,69440,10452
707,2013,69670,10452
708,2014,70650,10452
709,2015,70360,10452
710,2005,75538,10453
711,2006,71902,10453
712,2007,76235,10453
713,2008,69321,10453
714,2009,70722,10453
715,2010,74705,10453
716,2011,73289,10453
717,2012,70990,10453
718,2013,72730,10453
719,2014,72790,10453
720,2015,73190,10453
721,2005,25365,10454
722,2006,25809,10454
723,2007,30989,10454
724,2008,27488,10454
725,2009,28226,10454
726,2010,29259,10454
727,2011,30144,10454
728,2012,30710,10454
729,2013,31080,10454
730,2014,31760,10454
731,2015,31880,10454
732,2005,27949,10455
733,2006,28600,10455
734,2007,32106,10455
735,2008,30324,10455
736,2009,31574,10455
737,2010,32732,10455
738,2011,33870,10455
739,2012,33650,10455
740,2013,34380,10455
741,2014,34960,10455
742,2015,35240,10455
743,2005,63868,10456
744,2006,69789,10456
745,2007,74408,10456
746,2008,71351,10456
747,2009,74361,10456
748,2010,76246,10456
749,2011,77208,10456
750,2012,77130,10456
751,2013,78300,10456
752,2014,80130,10456
753,2015,80050,10456
754,2005,53539,10457
755,2006,63217,10457
756,2007,78119,10457
757,2008,59044,10457
758,2009,59222,10457
759,2010,62219,10457
760,2011,61972,10457
761,2012,61990,10457
762,2013,63520,10457
763,2014,64300,10457
764,2015,64740,10457
765,2005,55309,10458
766,2006,57116,10458
767,2007,61769,10458
768,2008,59774,10458
769,2009,61653,10458
770,2010,64313,10458
771,2011,63692,10458
772,2012,63330,10458
773,2013,64790,10458
774,2014,65650,10458
775,2015,66470,10458
776,2005,31925,10459
777,2006,33813,10459
778,2007,37815,10459
779,2008,36946,10459
780,2009,38092,10459
781,2010,41191,10459
782,2011,42420,10459
783,2012,41390,10459
784,2013,41890,10459
785,2014,41610,10459
786,2015,41540,10459
787,2005,41056,10460
788,2006,42778,10460
789,2007,48806,10460
790,2008,47820,10460
791,2009,50063,10460
792,2010,47689,10460
793,2011,47079,10460
794,2012,48020,10460
795,2013,48550,10460
796,2014,47930,10460
797,2015,47890,10460
798,2005,37440,10461
799,2006,37657,10461
800,2007,41120,10461
801,2008,39726,10461
802,2009,40558,10461
803,2010,41490,10461
804,2011,42440,10461
805,2012,42500,10461
806,2013,43160,10461
807,2014,43580,10461
808,2015,44170,10461
809,2005,62774,10462
810,2006,63795,10462
811,2007,69219,10462
812,2008,66495,10462
813,2009,68527,10462
814,2010,69863,10462
815,2011,71086,10462
816,2012,70780,10462
817,2013,71790,10462
818,2014,72810,10462
819,2015,74080,10462
820,2005,54245,10463
821,2006,54675,10463
822,2007,58626,10463
823,2008,55811,10463
824,2009,56980,10463
825,2010,57924,10463
826,2011,57807,10463
827,2012,58210,10463
828,2013,59180,10463
829,2014,59680,10463
830,2015,60050,10463
831,2005,3555,10464
832,2006,3491,10464
833,2007,3697,10464
834,2008,3619,10464
835,2009,3588,10464
836,2010,3666,10464
837,2011,3704,10464
838,2012,3690,10464
839,2013,3610,10464
840,2014,3600,10464
841,2015,3600,10464
842,2005,33579,10465
843,2006,33358,10465
844,2007,36222,10465
845,2008,34525,10465
846,2009,35446,10465
847,2010,35811,10465
848,2011,35532,10465
849,2012,35150,10465
850,2013,35120,10465
851,2014,35280,10465
852,2015,35480,10465
853,2005,52540,10466
854,2006,58202,10466
855,2007,57113,10466
856,2008,55394,10466
857,2009,57199,10466
858,2010,57801,10466
859,2011,58048,10466
860,2012,57840,10466
861,2013,58370,10466
862,2014,58640,10466
863,2015,59280,10466
864,2005,70621,10467
865,2006,72813,10467
866,2007,78995,10467
867,2008,76191,10467
868,2009,78666,10467
869,2010,80505,10467
870,2011,80317,10467
871,2012,80650,10467
872,2013,82790,10467
873,2014,84230,10467
874,2015,84310,10467
875,2005,58105,10468
876,2006,60487,10468
877,2007,66580,10468
878,2008,65176,10468
879,2009,65346,10468
880,2010,68520,10468
881,2011,67203,10468
882,2012,65880,10468
883,2013,67350,10468
884,2014,68110,10468
885,2015,67780,10468
886,2005,51645,10469
887,2006,51973,10469
888,2007,56155,10469
889,2008,54923,10469
890,2009,56423,10469
891,2010,56827,10469
892,2011,57396,10469
893,2012,57200,10469
894,2013,57460,10469
895,2014,57700,10469
896,2015,58670,10469
897,2005,11655,10470
898,2006,11728,10470
899,2007,12483,10470
900,2008,12185,10470
901,2009,12376,10470
902,2010,12878,10470
903,2011,12697,10470
904,2012,12810,10470
905,2013,12980,10470
906,2014,12880,10470
907,2015,13220,10470
908,2005,16782,10471
909,2006,16388,10471
910,2007,17330,10471
911,2008,16806,10471
912,2009,16766,10471
913,2010,17404,10471
914,2011,17142,10471
915,2012,17250,10471
916,2013,17100,10471
917,2014,17170,10471
918,2015,17200,10471
919,2005,48735,10472
920,2006,50105,10472
921,2007,55004,10472
922,2008,52009,10472
923,2009,53063,10472
924,2010,53519,10472
925,2011,53556,10472
926,2012,53680,10472
927,2013,54550,10472
928,2014,55910,10472
929,2015,57010,10472
930,2005,46722,10473
931,2006,47551,10473
932,2007,53603,10473
933,2008,50483,10473
934,2009,51282,10473
935,2010,51694,10473
936,2011,52232,10473
937,2012,50890,10473
938,2013,50850,10473
939,2014,50630,10473
940,2015,50920,10473
941,2005,8415,10474
942,2006,8601,10474
943,2007,9393,10474
944,2008,9033,10474
945,2009,9067,10474
946,2010,9472,10474
947,2011,9453,10474
948,2012,9520,10474
949,2013,9470,10474
950,2014,9750,10474
951,2015,10040,10474
952,2005,34540,10475
953,2006,34194,10475
954,2007,36623,10475
955,2008,34781,10475
956,2009,34957,10475
957,2010,34947,10475
958,2011,34884,10475
959,2012,35170,10475
960,2013,35710,10475
961,2014,35760,10475
962,2015,35830,10475
963,2005,1445,10501
964,2006,1350,10501
965,2007,1380,10501
966,2008,1346,10501
967,2009,1362,10501
968,2010,1361,10501
969,2011,1417,10501
970,2012,1390,10501
971,2013,1390,10501
972,2014,1340,10501
973,2015,1330,10501
974,2005,6169,10502
975,2006,5782,10502
976,2007,5883,10502
977,2008,5807,10502
978,2009,5886,10502
979,2010,5814,10502
980,2011,5929,10502
981,2012,5940,10502
982,2013,6090,10502
983,2014,5960,10502
984,2015,5930,10502
985,2005,8800,10504
986,2006,8067,10504
987,2007,9549,10504
988,2008,11963,10504
989,2009,12574,10504
990,2010,12429,10504
991,2011,12920,10504
992,2012,12480,10504
993,2013,12400,10504
994,2014,12140,10504
995,2015,11980,10504
996,2005,1433,10505
997,2006,1314,10505
998,2007,1300,10505
999,2008,1302,10505
1000,2009,1289,10505
1001,2010,1337,10505
1002,2011,1250,10505
1003,2012,1230,10505
1004,2013,1250,10505
1005,2014,1250,10505
1006,2015,1250,10505
1007,2005,6598,10506
1008,2006,5928,10506
1009,2007,6093,10506
1010,2008,6060,10506
1011,2009,5990,10506
1012,2010,6065,10506
1013,2011,6044,10506
1014,2012,5970,10506
1015,2013,6000,10506
1016,2014,5790,10506
1017,2015,5800,10506
1018,2005,4976,10507
1019,2006,4796,10507
1020,2007,5029,10507
1021,2008,4953,10507
1022,2009,5016,10507
1023,2010,5058,10507
1024,2011,5026,10507
1025,2012,5290,10507
1026,2013,5110,10507
1027,2014,5290,10507
1028,2015,5240,10507
1029,2005,18981,10509
1030,2006,18122,10509
1031,2007,18750,10509
1032,2008,18559,10509
1033,2009,18613,10509
1034,2010,18440,10509
1035,2011,18535,10509
1036,2012,18480,10509
1037,2013,18510,10509
1038,2014,18640,10509
1039,2015,18640,10509
1040,2005,11163,10510
1041,2006,10059,10510
1042,2007,10279,10510
1043,2008,10286,10510
1044,2009,10221,10510
1045,2010,10272,10510
1046,2011,10055,10510
1047,2012,9920,10510
1048,2013,9980,10510
1049,2014,9860,10510
1050,2015,9820,10510
1051,2005,2150,10511
1052,2006,2114,10511
1053,2007,2153,10511
1054,2008,2125,10511
1055,2009,2194,10511
1056,2010,2202,10511
1057,2011,2137,10511
1058,2012,2200,10511
1059,2013,2160,10511
1060,2014,2150,10511
1061,2015,2130,10511
1062,2005,24651,10512
1063,2006,23598,10512
1064,2007,24452,10512
1065,2008,23744,10512
1066,2009,23798,10512
1067,2010,23723,10512
1068,2011,23674,10512
1069,2012,23610,10512
1070,2013,23540,10512
1071,2014,23100,10512
1072,2015,23250,10512
1073,2005,13587,10514
1074,2006,12308,10514
1075,2007,12444,10514
1076,2008,12490,10514
1077,2009,12395,10514
1078,2010,12329,10514
1079,2011,12445,10514
1080,2012,12490,10514
1081,2013,12420,10514
1082,2014,12050,10514
1083,2015,12250,10514
1084,2005,5035,10516
1085,2006,4809,10516
1086,2007,5078,10516
1087,2008,4952,10516
1088,2009,5089,10516
1089,2010,5173,10516
1090,2011,5212,10516
1091,2012,5130,10516
1092,2013,5290,10516
1093,2014,5050,10516
1094,2015,5130,10516
1095,2005,1610,10518
1096,2006,1452,10518
1097,2007,1480,10518
1098,2008,1442,10518
1099,2009,1458,10518
1100,2010,1406,10518
1101,2011,1409,10518
1102,2012,1490,10518
1103,2013,1420,10518
1104,2014,1330,10518
1105,2015,1360,10518
1106,2005,12314,10520
1107,2006,11652,10520
1108,2007,12198,10520
1109,2008,11831,10520
1110,2009,12112,10520
1111,2010,12120,10520
1112,2011,11987,10520
1113,2012,12230,10520
1114,2013,12230,10520
1115,2014,11850,10520
1116,2015,12150,10520
1117,2005,10035,10522
1118,2006,9503,10522
1119,2007,9879,10522
1120,2008,9707,10522
1121,2009,9707,10522
1122,2010,9832,10522
1123,2011,9955,10522
1124,2012,10080,10522
1125,2013,10010,10522
1126,2014,9960,10522
1127,2015,10050,10522
1128,2005,7551,10523
1129,2006,7603,10523
1130,2007,7819,10523
1131,2008,7569,10523
1132,2009,8090,10523
1133,2010,8042,10523
1134,2011,8552,10523
1135,2012,8870,10523
1136,2013,8920,10523
1137,2014,8880,10523
1138,2015,8840,10523
1139,2005,4243,10524
1140,2006,4054,10524
1141,2007,4198,10524
1142,2008,4063,10524
1143,2009,3917,10524
1144,2010,4017,10524
1145,2011,3997,10524
1146,2012,4030,10524
1147,2013,3950,10524
1148,2014,3850,10524
1149,2015,3920,10524
1150,2005,2122,10526
1151,2006,1948,10526
1152,2007,2004,10526
1153,2008,1981,10526
1154,2009,1912,10526
1155,2010,1978,10526
1156,2011,1945,10526
1157,2012,2000,10526
1158,2013,1940,10526
1159,2014,1870,10526
1160,2015,1870,10526
1161,2005,1065,10527
1162,2006,970,10527
1163,2007,997,10527
1164,2008,992,10527
1165,2009,984,10527
1166,2010,930,10527
1167,2011,937,10527
1168,2012,950,10527
1169,2013,910,10527
1170,2014,950,10527
1171,2015,940,10527
1172,2005,11464,10528
1173,2006,10790,10528
1174,2007,10988,10528
1175,2008,10909,10528
1176,2009,11020,10528
1177,2010,10951,10528
1178,2011,11277,10528
1179,2012,11040,10528
1180,2013,11070,10528
1181,2014,10980,10528
1182,2015,11150,10528
1183,2005,12256,10530
1184,2006,11986,10530
1185,2007,12321,10530
1186,2008,12113,10530
1187,2009,12055,10530
1188,2010,11943,10530
1189,2011,12147,10530
1190,2012,12300,10530
1191,2013,12200,10530
1192,2014,12270,10530
1193,2015,12220,10530
1194,2005,5296,10532
1195,2006,5010,10532
1196,2007,5240,10532
1197,2008,5050,10532
1198,2009,5055,10532
1199,2010,5084,10532
1200,2011,5071,10532
1201,2012,5110,10532
1202,2013,5130,10532
1203,2014,5030,10532
1204,2015,5040,10532
1205,2005,7838,10533
1206,2006,7371,10533
1207,2007,7605,10533
1208,2008,7481,10533
1209,2009,7520,10533
1210,2010,7473,10533
1211,2011,7609,10533
1212,2012,7670,10533
1213,2013,7770,10533
1214,2014,7630,10533
1215,2015,7680,10533
1216,2005,739,10535
1217,2006,706,10535
1218,2007,768,10535
1219,2008,734,10535
1220,2009,731,10535
1221,2010,743,10535
1222,2011,738,10535
1223,2012,730,10535
1224,2013,740,10535
1225,2014,750,10535
1226,2015,730,10535
1227,2005,11501,10536
1228,2006,10666,10536
1229,2007,10818,10536
1230,2008,10663,10536
1231,2009,10721,10536
1232,2010,10582,10536
1233,2011,10535,10536
1234,2012,11100,10536
1235,2013,10770,10536
1236,2014,10500,10536
1237,2015,10540,10536
1238,2005,2315,10537
1239,2006,2291,10537
1240,2007,2302,10537
1241,2008,2327,10537
1242,2009,2332,10537
1243,2010,2288,10537
1244,2011,2286,10537
1245,2012,2220,10537
1246,2013,2210,10537
1247,2014,2200,10537
1248,2015,2200,10537
1249,2005,17719,10538
1250,2006,16419,10538
1251,2007,16775,10538
1252,2008,16853,10538
1253,2009,16874,10538
1254,2010,17099,10538
